CSJP.L,ISHS MSCI JP USD-AC,IE00B53QDK08,8012.5,ETF,LSE
CSKR.L,ISHS MSCI USD-B-ACC,IE00B5W4TY14,114.24,ETF,LSE
CSP1.L,ISHARES VII PLC ISHARES CORE S&,IE00B5BMR087,13370,ETF,LSE
CSPX.L,ISHS CR 500 USD-AC,IE00B5BMR087,189.24,ETF,LSE
CSRU.L,ISHS MSCI RU USD-AC,IE00B5V87390,68.28,ETF,LSE
CSUK.L,ISHS MSCI UK GBP-AC,IE00B539F030,8126,ETF,LSE
CSUS.L,ISHS MSCI US USD-AC,IE00B52SFT06,184.88,ETF,LSE
CSWD.L,,IE00B3NBFN86,NaN,,
CSX5.L,ISHS CR STX EUR-AC,IE00B53L3W79,85.1,ETF,LSE
CSZA.L,ISHARES VII PLC ISHARES MSCI SO,IE00B4ZTP716,119.26,ETF,LSE
CU01.L,ISHARES VII PLC ISHARES USD TSY,IE00B3VWN518,9907.5,ETF,LSE
CU1.L,ISHARES VII PLC ISHARES MSCI US,IE00B52SFT06,13063,ETF,LSE
CU31.L,ISHARES VII PLC ISHARES USD TSY,IE00B3VWN179,7451,ETF,LSE
CU71.L,ISHARES VII PLC ISHARES USD TSY,IE00B3VWN393,8712.5,ETF,LSE
CUKL.L,ISHS MSCI GBP-B-ACC,IE00B3VWKZ07,9374.5,ETF,LSE
CUKS.L,ISHS MSCI SM GBP-AC,IE00B3VWLG82,16433,ETF,LSE
CUKX.L,ISHS 100 GBP-ACC,IE00B53HP851,8569.5,ETF,LSE
CUL1.L,,IE00B3VWLJ14,NaN,,
CUS1.L,ISHARES VII PLC ISHARES MSCI US,IE00B3VWM098,15729.5,ETF,LSE
CUSL.L,,IE00B3VWLJ14,NaN,,
CUSS.L,ISHS MSCI US USD-AC,IE00B3VWM098,222.64,ETF,LSE
CWD1.L,,IE00B3NBFN86,NaN,,
CZA1.L,ISHARES VII PLC ISHARES MSCI SO,IE00B4ZTP716,7831,ETF,LSE
DBRC.L,iShares BRIC 50,IE00B1W57M07,20.6,ETF,LSE
DEIN.L,iShares Emerging Market Infrastructure,IE00B2NPL135,20.5,ETF,LSE
DH2O.L,iShares Global Water,IE00B1TXK627,32.43,ETF,LSE
DJMC.L,iShares Public Limited Company - iShares EURO STOXX Mid UCITS ETF,IE00B02KXL92,3652.5,ETF,LSE
DJSC.L,iShares Public Limited Company - iShares EURO STOXX Small UCITS ETF,IE00B02KXM00,2197.75,ETF,LSE
DLTM.L,iShares MSCI EM Latin America Dist,IE00B27YCK28,13.66,ETF,LSE
DNRG.L,iShares Global Clean Energy,IE00B1XNHC34,5.21,ETF,LSE
DWOD.L,iShares Global Timber & Forestry,IE00B27YCF74,17.22,ETF,LSE
E20Y.L,iShares Euro Gov Bd 20yr Trgt Duration,IE00BSKRJX20,5.21,ETF,LSE
EEMB.L,ISHARES II PLC ISHARES J.P. MOR,IE00B2NPKV68,97.14,ETF,LSE
EEX5.L,iShares Euro Corp Bd ex-Fincls 1-5yr,IE00B4L5ZY03,86.36,ETF,LSE
EEXF.L,iShares Euro Corporate Bond ex-Fincls,IE00B4L5ZG21,91.69,ETF,LSE
EG20.L,iShares Euro Gov Bd 20yr Trgt Duration,IE00BSKRJX20,412.2,ETF,LSE
EGIL.L,ISHARES III PLC ISHARES GLOBAL,IE00B3B8PX14,130.85,ETF,LSE
EI18.L,iShares iBonds Sep 2018 USD Corporate,IE00BVC3VM20,4.47,ETF,LSE
EIMI.L,iShares Core MSCI Emerging Markets IMI,IE00BKM4GZ66,20.54,ETF,LSE
EMBE.L,iShares JP Morgan $ EM Bd EUR Hdgd,IE00B9M6RS56,99.03,ETF,LSE
EMCP.L,ISHARES V PUBLIC LIMITED COMPAN,IE00B6TLBW47,68.38,ETF,LSE
EMCR.L,iShares $ Emerging Markets Corporate Bd,IE00B6TLBW47,96.43,ETF,LSE
EMIM.L,ISH CR MSCI USD-AC,IE00BKM4GZ66,1445.5,ETF,LSE
EMMV.L,iShares MSCI Emerg Mkts Minimum Volatil,IE00B8KGV557,23.61,ETF,LSE
